time_ms,ax,ay,az,gx,gy,gz,label
1594141,4640,-12752,10124,-1243,832,-166,place_align_gasket
1594163,4532,-12908,10100,-1438,1026,-243,place_align_gasket
1594185,4492,-13012,10104,-1151,1005,-164,place_align_gasket
1594207,4524,-12888,9968,-926,879,-61,place_align_gasket
1594229,4472,-13008,10072,-822,769,46,place_align_gasket
1594251,4484,-12916,10088,-492,807,240,place_align_gasket
1594273,4428,-12884,10100,-360,913,359,place_align_gasket
1594295,4472,-12688,9936,-579,931,442,place_align_gasket
1594317,4288,-12916,9840,-753,851,478,place_align_gasket
1594339,4372,-12804,9916,-815,704,512,place_align_gasket
1594361,4280,-12592,9640,-804,610,704,place_align_gasket
1594383,4120,-12528,9300,-646,489,856,place_align_gasket
1594405,4004,-12380,9136,-408,271,950,place_align_gasket
1594427,3932,-12492,9160,-270,-68,898,place_align_gasket
1594449,4024,-12744,9284,-470,-566,720,place_align_gasket
1594471,4164,-13076,9276,-676,-830,545,place_align_gasket
1594493,4296,-13168,9228,-702,-989,546,place_align_gasket
1594515,4300,-13260,9160,-758,-978,748,place_align_gasket
1594537,4244,-13308,9396,-552,-996,958,place_align_gasket
1594559,4128,-13252,9408,-536,-1076,925,place_align_gasket
1594581,4004,-13372,9372,-738,-1238,753,place_align_gasket
1594603,4212,-13304,9256,-943,-1265,618,place_align_gasket
1594625,4168,-13412,9308,-911,-1258,594,place_align_gasket
1594647,4156,-13564,9440,-348,-1200,677,place_align_gasket
1594669,4032,-13460,9280,-5,-1163,727,place_align_gasket
1594691,4104,-13400,9220,-91,-1280,726,place_align_gasket
1594713,4020,-13336,8852,-532,-1229,848,place_align_gasket
1594735,3912,-13484,8908,-230,-1377,1062,place_align_gasket
1594757,3892,-13524,9132,225,-1472,1341,place_align_gasket
1594779,3916,-13384,9156,882,-1502,1426,place_align_gasket
1594801,4064,-13340,9460,1397,-1600,1357,place_align_gasket
1594823,4388,-13024,9304,1136,-1557,1123,place_align_gasket
1594845,4580,-13116,9520,653,-1137,960,place_align_gasket
1594867,4552,-12784,9788,343,-850,914,place_align_gasket
1594889,4524,-13020,9920,770,-733,828,place_align_gasket
1594911,4376,-12740,10260,1346,-549,831,place_align_gasket
1594933,4368,-12444,10236,1303,-416,549,place_align_gasket
1594955,4436,-12376,10224,693,78,317,place_align_gasket
1594977,4392,-12624,10244,504,644,-28,place_align_gasket
1594999,4332,-12736,10260,-1,989,-240,place_align_gasket
1595021,4216,-13152,9780,-387,1158,-374,place_align_gasket
1595043,4196,-13324,9572,-392,1258,-282,place_align_gasket
1595065,3960,-13244,9256,-230,986,-102,place_align_gasket
1595087,3852,-13176,8880,-115,568,32,place_align_gasket
1595109,3880,-12804,8820,220,-47,193,place_align_gasket
1595131,3732,-12708,8800,545,-634,214,place_align_gasket
1595153,4116,-12296,9092,586,-1169,292,place_align_gasket
1595175,4240,-12620,9408,729,-1548,296,place_align_gasket
1595197,4280,-12592,9480,909,-1491,355,place_align_gasket
1595219,4452,-12588,9608,834,-1269,299,place_align_gasket
1595241,4476,-12728,9864,786,-1032,233,place_align_gasket
1595263,4548,-12656,10092,941,-872,138,place_align_gasket
1595285,5160,-13092,10256,1020,-575,18,place_align_gasket
1595307,4920,-12848,10316,577,-459,-127,place_align_gasket
1595329,4668,-12780,10348,280,-274,60,place_align_gasket
1595351,4680,-12908,10544,659,-131,193,place_align_gasket
1595373,4480,-12516,10376,1023,-45,175,place_align_gasket
1595395,4424,-12424,10368,881,134,107,place_align_gasket
1595417,4448,-12244,10400,560,127,0,place_align_gasket
1595439,4444,-12292,10408,-117,153,-110,place_align_gasket
1595461,4408,-12292,10252,-250,131,-115,place_align_gasket
1595483,4436,-12432,10108,-203,89,-119,place_align_gasket
1595505,4432,-12520,10100,134,2,-61,place_align_gasket
1595527,4436,-12464,10032,78,-121,-3,place_align_gasket
1595549,4448,-12612,10080,141,-371,42,place_align_gasket
1595571,4416,-12804,10164,398,-654,97,place_align_gasket
1595593,4412,-12704,10020,718,-836,282,place_align_gasket
1595615,4500,-12800,10156,794,-876,478,place_align_gasket
1595637,4604,-12648,10272,722,-890,635,place_align_gasket
1595659,4660,-12588,10468,896,-777,713,place_align_gasket
1595681,4644,-12484,10616,1205,-558,759,place_align_gasket
1595703,4748,-12120,10752,1127,-127,862,place_align_gasket
1595725,4656,-12068,10852,484,388,917,place_align_gasket
1595747,4624,-11932,10776,-225,690,722,place_align_gasket
1595769,4636,-12096,10736,1,770,565,place_align_gasket
1595791,4484,-12016,10504,153,737,374,place_align_gasket
1595813,4696,-11892,10368,-197,823,292,place_align_gasket
1595835,4672,-12104,10572,-133,881,330,place_align_gasket
1595857,4492,-12200,10556,-69,743,200,place_align_gasket
