time_ms,ax,ay,az,gx,gy,gz,label
1887819,12008,-4012,12496,2976,-398,1024,insert_bolt_nut
1887841,12764,-3024,12308,2299,-839,348,insert_bolt_nut
1887863,14500,-2452,12440,-2277,-1225,-413,insert_bolt_nut
1887885,17144,460,9532,-13734,1865,334,insert_bolt_nut
1887907,19840,-2540,8012,-23727,8827,3919,insert_bolt_nut
1887929,19584,-8212,9436,-21153,15071,6252,insert_bolt_nut
1887951,17296,-7304,10240,-17523,20331,5495,insert_bolt_nut
1887973,15796,-5428,10096,-16849,20567,5272,insert_bolt_nut
1887995,13112,-5780,9704,-18413,16907,4375,insert_bolt_nut
1888017,10992,-7036,9544,-15523,11829,2424,insert_bolt_nut
1888039,9340,-5988,9068,-12808,6923,1979,insert_bolt_nut
1888061,7540,-6220,8080,-12073,2631,1776,insert_bolt_nut
1888083,6516,-8548,7540,-10710,-585,564,insert_bolt_nut
1888105,5600,-9352,9384,-7504,-3089,-314,insert_bolt_nut
1888127,5848,-8548,10992,-4801,-5907,-478,insert_bolt_nut
1888149,6336,-8832,11652,-4366,-4904,45,insert_bolt_nut
1888171,6860,-9976,11656,-6346,-2020,-157,insert_bolt_nut
1888193,6636,-11280,11336,-6849,441,-742,insert_bolt_nut
1888215,7720,-11740,12164,-5132,2221,-86,insert_bolt_nut
1888237,7612,-12452,12044,-3934,3889,852,insert_bolt_nut
1888259,7220,-12316,11160,-3852,3857,1434,insert_bolt_nut
1888281,7424,-11928,10612,-2867,4094,2569,insert_bolt_nut
1888303,7612,-12232,10640,-1517,4130,3974,insert_bolt_nut
1888325,7348,-11832,10628,-179,4281,4686,insert_bolt_nut
1888347,6840,-11124,10196,-405,4486,5126,insert_bolt_nut
1888369,7088,-10992,9692,635,4885,5524,insert_bolt_nut
1888391,6348,-10852,10588,1969,5010,5914,insert_bolt_nut
1888413,6544,-10228,10776,3062,5098,6240,insert_bolt_nut
1888435,5360,-10252,10940,4271,5138,5829,insert_bolt_nut
